#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|              random.128plus.out|  2.38e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.51543885|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.18268730|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.39220969|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.83686109|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.86097339|  PASSED  
        diehard_opso|   0|   2097152|     100|0.52143893|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.53299704|  PASSED  
         diehard_dna|   0|   2097152|     100|0.22031187|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.27568920|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.49196827|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.65655550|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.64378869|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.89456358|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.50782650|  PASSED  
        diehard_sums|   0|       100|     100|0.15502782|  PASSED  
        diehard_runs|   0|    100000|     100|0.45033370|  PASSED  
        diehard_runs|   0|    100000|     100|0.42646272|  PASSED  
       diehard_craps|   0|    200000|     100|0.91312957|  PASSED  
       diehard_craps|   0|    200000|     100|0.61675888|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.32733705|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.73568273|  PASSED  
         sts_monobit|   1|    100000|     100|0.46024117|  PASSED  
            sts_runs|   2|    100000|     100|0.40510701|  PASSED  
          sts_serial|   1|    100000|     100|0.77234997|  PASSED  
          sts_serial|   2|    100000|     100|0.93982857|  PASSED  
          sts_serial|   3|    100000|     100|0.65014778|  PASSED  
          sts_serial|   3|    100000|     100|0.39368934|  PASSED  
          sts_serial|   4|    100000|     100|0.48461361|  PASSED  
          sts_serial|   4|    100000|     100|0.79839062|  PASSED  
          sts_serial|   5|    100000|     100|0.69808901|  PASSED  
          sts_serial|   5|    100000|     100|0.99132536|  PASSED  
          sts_serial|   6|    100000|     100|0.93844026|  PASSED  
          sts_serial|   6|    100000|     100|0.93059329|  PASSED  
          sts_serial|   7|    100000|     100|0.99341761|  PASSED  
          sts_serial|   7|    100000|     100|0.64950032|  PASSED  
          sts_serial|   8|    100000|     100|0.88099544|  PASSED  
          sts_serial|   8|    100000|     100|0.55524271|  PASSED  
          sts_serial|   9|    100000|     100|0.42290467|  PASSED  
          sts_serial|   9|    100000|     100|0.79352337|  PASSED  
